Energy (eV) Intensity
-0.40	8.60E-05
-0.39	2.38E-06
-0.38	2.06E-06
-0.37	-8.29E-05
-0.36	1.70E-04
-0.35	-8.42E-05
-0.34	8.33E-05
-0.33	-2.30E-06
-0.32	1.65E-04
-0.31	-3.84E-06
-0.30	-3.40E-06
-0.29	-8.70E-05
-0.28	-2.70E-06
-0.27	-3.57E-06
-0.26	3.33E-04
-0.25	7.90E-05
-0.24	-5.88E-06
-0.23	-6.12E-06
-0.22	-9.01E-05
-0.21	-8.89E-05
-0.20	8.15E-05
-0.19	-8.56E-05
-0.18	-8.47E-05
-0.17	1.70E-04
-0.16	-7.92E-05
-0.15	9.51E-05
-0.14	1.43E-05
-0.13	-7.04E-05
-0.12	9.80E-05
-0.11	1.50E-05
-0.10	9.15E-06
-0.09	-1.36E-05
-0.08	-3.97E-05
-0.07	-2.46E-05
-0.06	6.93E-05
-0.05	2.24E-04
-0.04	5.24E-04
-0.03	2.77E-04
-0.02	2.97E-04
-0.01	-7.65E-07
0.00	-7.82E-05
0.01	-1.71E-04
0.02	-3.91E-04
0.03	-3.09E-04
0.04	-3.63E-04
0.05	-2.33E-04
0.06	-7.60E-05
0.07	-1.65E-04
0.08	-1.15E-04
0.09	1.61E-04
0.10	8.48E-05
0.11	8.39E-05
0.12	-8.61E-05
0.13	-8.19E-05
0.14	1.03E-05
0.15	-6.57E-05
0.16	2.60E-05
0.17	2.00E-04
0.18	-5.11E-05
0.19	1.16E-04
0.20	2.59E-05
0.21	-6.54E-05
0.22	9.65E-05
0.23	-7.73E-05
0.24	8.80E-05
0.25	1.81E-06
0.26	8.52E-05
0.27	8.48E-05
0.28	-8.41E-05
0.29	8.48E-08
0.30	-7.30E-08
0.31	-2.82E-07
0.32	2.53E-04
0.33	-8.49E-05
0.34	-6.52E-07
0.35	-7.42E-07
0.36	1.68E-04
0.37	-8.12E-07
0.38	-8.51E-05
0.39	-8.51E-05
0.40	-7.46E-07
0.41	-8.51E-05
0.42	-8.50E-05
0.43	1.68E-04
0.44	1.68E-04
0.45	-6.83E-07
0.46	8.36E-05
0.47	-6.75E-07
0.48	-6.23E-07
0.49	-5.50E-07
0.50	-8.48E-05
0.51	-8.47E-05
0.52	-2.26E-07
0.53	8.43E-05
0.54	1.08E-07
0.55	-8.41E-05
0.56	4.63E-07
0.57	-8.33E-05
0.58	-8.23E-05
0.59	-8.11E-05
0.60	4.11E-06
