Iteration number	RMS Error
1.0	0.015750460361272065
2.0	0.01053159099544969
3.0	0.0073177613612023214
4.0	0.0052025854885642524
5.0	0.003752240082733279
6.0	0.0027305208499274073
7.0	0.0019972567931767979
8.0	0.0014640719413127337
9.0	0.0010727522411124036
10.0	0.00078370555155118612
11.0	0.00056937742023781615
12.0	0.00041029620034004641
13.0	0.00029261440259186492
14.0	0.00020656793455851459
15.0	0.00014554022606170025
16.0	0.00010543366487606553
17.0	8.3572467197799957e-05
18.0	7.6233951948100303e-05
19.0	7.7525225004527922e-05
20.0	8.2179446796731869e-05
21.0	8.7344983479196338e-05
22.0	9.1905734061700065e-05
23.0	9.5557793362316008e-05
24.0	9.8317236179949147e-05
25.0	0.00010030832214126694
26.0	0.00010167825427181581
27.0	0.00010256487552162899
28.0	0.00010308623341188058
29.0	0.00010333903352010868
30.0	0.00010340048564537338
31.0	0.00010333120086083711
32.0	0.00010317816244215796
33.0	0.00010297739491542726
34.0	0.00010275622040747767
35.0	0.00010253510460291855
36.0	0.00010232913837476349
37.0	0.00010214921345622309
38.0	0.00010200294910619045
39.0	0.00010189541995302044
40.0	0.00010182972697475229
41.0	0.000101807445620839
42.0	0.00010182897809112322
43.0	0.00010189383094986062
44.0	0.00010200083452791884
45.0	0.0001021483168224559
46.0	0.00010233424168174573
47.0	0.00010255631880757336
48.0	0.00010281209138139626
49.0	0.00010309900580671078
50.0	0.00010341446706305868
51.0	0.00010375588241217295
52.0	0.00010412069562329201
53.0	0.000104506413448453
54.0	0.0001049106257434829
55.0	0.00010533102037151545
56.0	0.00010576539382324164
57.0	0.00010621165832732522
58.0	0.00010666784609567372
59.0	0.0001071321112429974
60.0	0.00010760272983385415
61.0	0.00010807809843784582
62.0	0.00010855673151323471
63.0	0.00010903725788764438
64.0	0.00010951841656063064
65.0	0.00010999905201582939
66.0	0.0001104781091977895
67.0	0.00011095462828161369
68.0	0.00011142773934019134
69.0	0.00011189665699331767
70.0	0.00011236067510661394
71.0	0.00011281916159355023
72.0	0.00011327155336144099
73.0	0.00011371735143291227
74.0	0.00011415611626498583
75.0	0.00011458746328152585
76.0	0.00011501105862872916
77.0	0.00011542661515887036
78.0	0.00011583388864336797
79.0	0.00011623267421358592
80.0	0.00011662280302518122
81.0	0.00011700413914010068
82.0	0.0001173765766188097
83.0	0.0001177400368145251
84.0	0.00011809446586029123
85.0	0.00011843983233963448
86.0	0.00011877612513095284
87.0	0.00011910335141595172
88.0	0.00011942153484245579
89.0	0.00011973071383208157
90.0	0.00012003094002346587
91.0	0.00012032227684221243
92.0	0.00012060479818873513
93.0	0.00012087858723609894
94.0	0.00012114373532968935
95.0	0.00012140034098153842
96.0	0.00012164850895226306
97.0	0.00012188834941396801
98.0	0.00012211997718789984
99.0	0.00012234351105114107
100.0	0.000122559073106941
101.0	0.00012276678821346976
102.0	0.00012296678346647945
103.0	0.00012315918773131602
104.0	0.00012334413122039729
105.0	0.0001235217451121718
106.0	0.00012369216120837101
107.0	0.00012385551162591725
108.0	0.00012401192852092062
109.0	0.00012416154384178757
110.0	0.00012430448910881884
111.0	0.00012444089521821512
112.0	0.00012457089226820383
113.0	0.00012469460940521453
114.0	0.00012481217468841862
115.0	0.00012492371497093387
116.0	0.00012502935579621139
117.0	0.00012512922130794509
118.0	0.00012522343417258522
119.0	0.00012531211551307768
120.0	0.00012539538485268947
121.0	0.00012547336006807079
122.0	0.00012554615735061684
123.0	0.00012561389117522127
124.0	0.00012567667427580188
125.0	0.00012573461762682087
126.0	0.00012578783043017111
127.0	0.00012583642010696882
128.0	0.00012588049229356061
129.0	0.00012592015084145203
130.0	0.00012595549782060421
131.0	0.0001259866335258015
132.0	0.00012601365648557013
133.0	0.00012603666347364573
134.0	0.00012605574952233211
135.0	0.00012607100793772918
136.0	0.00012608253031660084
137.0	0.00012609040656446068
138.0	0.00012609472491489725
139.0	0.00012609557194986318
140.0	0.00012609303262081883
141.0	0.00012608719027058058
142.0	0.00012607812665570508
143.0	0.00012606592196924598
144.0	0.00012605065486413189
145.0	0.00012603240247643373
146.0	0.00012601124044913343
147.0	0.00012598724295582368
148.0	0.00012596048272451303
149.0	0.00012593103106146739
150.0	0.00012589895787487829
151.0	0.00012586433169854458
152.0	0.00012582721971534703
153.0	0.00012578768778063714
154.0	0.00012574580044530235
155.0	0.00012570162097865487
156.0	0.00012565521139116763
157.0	0.0001256066324568137
158.0	0.00012555594373518439
159.0	0.00012550320359333377
160.0	0.00012544846922728263
161.0	0.00012539179668323843
162.0	0.0001253332408784814
163.0	0.00012527285562192536
164.0	0.00012521069363440453
165.0	0.00012514680656852646
166.0	0.00012508124502832589
